Fecha,Partida,Descripcion,Pais,Region,Unidad,Cantidad,FOB
20210201,7208.54.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick less than 3mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210301,7208.54.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick less than 3mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210401,7208.54.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick less than 3mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210501,7208.54.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick less than 3mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210601,7208.54.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick less than 3mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,"47,940","31,854"
20210701,7208.54.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick less than 3mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210801,7208.54.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick less than 3mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,0,0
20210901,7208.54.00,"Iron/nonalloy steel, width 600mm+, hot-rolled flat-rolled products, neosi, not in coils, w/thick less than 3mm, not clad/plated/coated",Saudi Arabia,Oriente Medio y Norte de Africa,kilograms,"46,990","31,439"
20210101,7209.27.00,"Iron/nonalloy steel, width 600mm+, cold-rolled flat-rolled products, not in coils, w/thick 0.5mm+ but n/o 1mm, not clad/plated/coated",Turkey,Europa y Asia central,kilograms,0,0
20210201,7209.27.00,"Iron/nonalloy steel, width 600mm+, cold-rolled flat-rolled products, not in coils, w/thick 0.5mm+ but n/o 1mm, not clad/plated/coated",Turkey,Europa y Asia central,kilograms,"22,880","15,104"
20210301,7209.27.00,"Iron/nonalloy steel, width 600mm+, cold-rolled flat-rolled products, not in coils, w/thick 0.5mm+ but n/o 1mm, not clad/plated/coated",Turkey,Europa y Asia central,kilograms,0,0
20210401,7209.27.00,"Iron/nonalloy steel, width 600mm+, cold-rolled flat-rolled products, not in coils, w/thick 0.5mm+ but n/o 1mm, not clad/plated/coated",Turkey,Europa y Asia central,kilograms,0,0
20210501,7209.27.00,"Iron/nonalloy steel, width 600mm+, cold-rolled flat-rolled products, not in coils, w/thick 0.5mm+ but n/o 1mm, not clad/plated/coated",Turkey,Europa y Asia central,kilograms,0,0
20210601,7209.27.00,"Iron/nonalloy steel, width 600mm+, cold-rolled flat-rolled products, not in coils, w/thick 0.5mm+ but n/o 1mm, not clad/plated/coated",Turkey,Europa y Asia central,kilograms,0,0
20210701,7209.27.00,"Iron/nonalloy steel, width 600mm+, cold-rolled flat-rolled products, not in coils, w/thick 0.5mm+ but n/o 1mm, not clad/plated/coated",Turkey,Europa y Asia central,kilograms,0,0
20210801,7209.27.00,"Iron/nonalloy steel, width 600mm+, cold-rolled flat-rolled products, not in coils, w/thick 0.5mm+ but n/o 1mm, not clad/plated/coated",Turkey,Europa y Asia central,kilograms,0,0
20210901,7209.27.00,"Iron/nonalloy steel, width 600mm+, cold-rolled flat-rolled products, not in coils, w/thick 0.5mm+ but n/o 1mm, not clad/plated/coated",Turkey,Europa y Asia central,kilograms,0,0
20210101,7209.90.00,"Iron/nonalloy steel, width 600mm+, flat-rolled products further worked than cold-rolled, not clad/plated/coated, nesoi",Turkey,Europa y Asia central,kilograms,0,0
20210201,7209.90.00,"Iron/nonalloy steel, width 600mm+, flat-rolled products further worked than cold-rolled, not clad/plated/coated, nesoi",Turkey,Europa y Asia central,kilograms,0,0
20210301,7209.90.00,"Iron/nonalloy steel, width 600mm+, flat-rolled products further worked than cold-rolled, not clad/plated/coated, nesoi",Turkey,Europa y Asia central,kilograms,0,0
20210401,7209.90.00,"Iron/nonalloy steel, width 600mm+, flat-rolled products further worked than cold-rolled, not clad/plated/coated, nesoi",Turkey,Europa y Asia central,kilograms,0,0
20210501,7209.90.00,"Iron/nonalloy steel, width 600mm+, flat-rolled products further worked than cold-rolled, not clad/plated/coated, nesoi",Turkey,Europa y Asia central,kilograms,0,0
20210601,7209.90.00,"Iron/nonalloy steel, width 600mm+, flat-rolled products further worked than cold-rolled, not clad/plated/coated, nesoi",Turkey,Europa y Asia central,kilograms,0,0
20210701,7209.90.00,"Iron/nonalloy steel, width 600mm+, flat-rolled products further worked than cold-rolled, not clad/plated/coated, nesoi",Turkey,Europa y Asia central,kilograms,0,0
20210801,7209.90.00,"Iron/nonalloy steel, width 600mm+, flat-rolled products further worked than cold-rolled, not clad/plated/coated, nesoi",Turkey,Europa y Asia central,kilograms,0,0
